Date	Time	Temp (°C) c:1	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
10-07-22	07:10:00	24.750					
10-07-22	07:20:00	24.750					
10-07-22	07:30:00	24.750					
10-07-22	07:40:00	24.750					
10-07-22	07:50:00	24.726					
10-07-22	08:00:00	24.726					
10-07-22	08:10:00	24.726					
10-07-22	08:20:00	24.702					
10-07-22	08:30:00	24.702					
10-07-22	08:40:00	24.702					
10-07-22	08:50:00	24.702					
10-07-22	09:00:00	24.677					
10-07-22	09:10:00	24.677					
10-07-22	09:20:00	24.677					
10-07-22	09:30:00	24.677					
10-07-22	09:40:00	24.677					
10-07-22	09:50:00	24.677					
10-07-22	10:00:00	24.653					
10-07-22	10:10:00	24.653					
10-07-22	10:20:00	24.653					
10-07-22	10:30:00	24.653					
10-07-22	10:40:00	24.653					
10-07-22	10:50:00	24.677					
10-07-22	11:00:00	24.677					
10-07-22	11:10:00	24.677					
10-07-22	11:20:00	24.677					
10-07-22	11:30:00	24.677					
10-07-22	11:40:00	24.677					
10-07-22	11:50:00	24.702					
10-07-22	12:00:00	24.702					
10-07-22	12:10:00	24.702					
10-07-22	12:20:00	24.702					
10-07-22	12:30:00	24.726					
10-07-22	12:40:00	24.726					
10-07-22	12:50:00	24.726					
10-07-22	13:00:00	24.750					
10-07-22	13:10:00	24.750					
10-07-22	13:20:00	24.750					
10-07-22	13:30:00	24.774					
10-07-22	13:40:00	24.774					
10-07-22	13:50:00	24.774					
10-07-22	14:00:00	24.798					
10-07-22	14:10:00	24.798					
10-07-22	14:20:00	24.798					
10-07-22	14:30:00	24.823					
10-07-22	14:40:00	24.823					
10-07-22	14:50:00	24.847					
10-07-22	15:00:00	24.847					
10-07-22	15:10:00	24.847					
10-07-22	15:20:00	24.871					
10-07-22	15:30:00	24.871					
10-07-22	15:40:00	24.871					
10-07-22	15:50:00	24.895					
10-07-22	16:00:00	24.895					
10-07-22	16:10:00	24.895					
10-07-22	16:20:00	24.919					
10-07-22	16:30:00	24.919					
10-07-22	16:40:00	24.919					
10-07-22	16:50:00	24.944					
10-07-22	17:00:00	24.944					
10-07-22	17:10:00	24.944					
10-07-22	17:20:00	24.968					
10-07-22	17:30:00	24.968					
10-07-22	17:40:00	24.968					
10-07-22	17:50:00	24.992					
10-07-22	18:00:00	24.992					
10-07-22	18:10:00	24.992					
10-07-22	18:20:00	25.016					
10-07-22	18:30:00	25.016					
10-07-22	18:40:00	25.016					
10-07-22	18:50:00	25.040					
10-07-22	19:00:00	25.040					
10-07-22	19:10:00	25.040					
10-07-22	19:20:00	25.065					
10-07-22	19:30:00	25.065					
10-07-22	19:40:00	25.065					
10-07-22	19:50:00	25.065					
10-07-22	20:00:00	25.089					
10-07-22	20:10:00	25.089					
10-07-22	20:20:00	25.089					
10-07-22	20:30:00	25.089					
10-07-22	20:40:00	25.113					
10-07-22	20:50:00	25.113					
10-07-22	21:00:00	25.113					
10-07-22	21:10:00	25.113					
10-07-22	21:20:00	25.113					
10-07-22	21:30:00	25.113					
10-07-22	21:40:00	25.113					
10-07-22	21:50:00	25.113					
10-07-22	22:00:00	25.113					
10-07-22	22:10:00	25.113					
10-07-22	22:20:00	25.113					
10-07-22	22:30:00	25.113					
10-07-22	22:40:00	25.113					
10-07-22	22:50:00	25.113					
10-07-22	23:00:00	25.113					
10-07-22	23:10:00	25.089					
10-07-22	23:20:00	25.089					
10-07-22	23:30:00	25.089					
10-07-22	23:40:00	25.089					
10-07-22	23:50:00	25.089					
11-07-22	00:00:00	25.065					
11-07-22	00:10:00	25.065					
11-07-22	00:20:00	25.065					
11-07-22	00:30:00	25.065					
11-07-22	00:40:00	25.040					
11-07-22	00:50:00	25.040					
11-07-22	01:00:00	25.040					
11-07-22	01:10:00	25.040					
11-07-22	01:20:00	25.016					
11-07-22	01:30:00	25.016					
11-07-22	01:40:00	25.016					
11-07-22	01:50:00	25.016					
11-07-22	02:00:00	24.992					
11-07-22	02:10:00	24.992					
11-07-22	02:20:00	24.992					
11-07-22	02:30:00	24.992					
11-07-22	02:40:00	24.968					
11-07-22	02:50:00	24.968					
11-07-22	03:00:00	24.944					
11-07-22	03:10:00	24.944					
11-07-22	03:20:00	24.944					
11-07-22	03:30:00	24.919					
11-07-22	03:40:00	24.919					
11-07-22	03:50:00	24.919					
11-07-22	04:00:00	24.895					
11-07-22	04:10:00	24.895					
11-07-22	04:20:00	24.895					
11-07-22	04:30:00	24.871					
11-07-22	04:40:00	24.871					
11-07-22	04:50:00	24.847					
11-07-22	05:00:00	24.847					
11-07-22	05:10:00	24.847					
11-07-22	05:20:00	24.823					
11-07-22	05:30:00	24.823					
11-07-22	05:40:00	24.798					
11-07-22	05:50:00	24.798					
11-07-22	06:00:00	24.798					
11-07-22	06:10:00	24.774					
11-07-22	06:20:00	24.774					
11-07-22	06:30:00	24.774					
11-07-22	06:40:00	24.750					
11-07-22	06:50:00	24.750					
11-07-22	07:00:00	24.750					
11-07-22	07:10:00	24.726					
11-07-22	07:20:00	24.726					
11-07-22	07:30:00	24.726					
11-07-22	07:40:00	24.702					
11-07-22	07:50:00	24.702					
11-07-22	08:00:00	24.702					
11-07-22	08:10:00	24.677					
11-07-22	08:20:00	24.677					
11-07-22	08:30:00	24.677					
11-07-22	08:40:00	24.677					
11-07-22	08:50:00	24.653					
11-07-22	09:00:00	24.653					
11-07-22	09:10:00	24.653					
11-07-22	09:20:00	24.653					
11-07-22	09:30:00	24.653					
11-07-22	09:40:00	24.629					
11-07-22	09:50:00	24.629					
11-07-22	10:00:00	24.629					
11-07-22	10:10:00	24.629					
11-07-22	10:20:00	24.629					
11-07-22	10:30:00	24.629					
11-07-22	10:40:00	24.629					
11-07-22	10:50:00	24.629					
11-07-22	11:00:00	24.629					
11-07-22	11:10:00	24.629					
11-07-22	11:20:00	24.629					
11-07-22	11:30:00	24.629					
11-07-22	11:40:00	24.629					
11-07-22	11:50:00	24.653					
11-07-22	12:00:00	24.653					
11-07-22	12:10:00	24.653					
11-07-22	12:20:00	24.653					
11-07-22	12:30:00	24.653					
11-07-22	12:40:00	24.677					
11-07-22	12:50:00	24.677					
11-07-22	13:00:00	24.677					
11-07-22	13:10:00	24.677					
11-07-22	13:20:00	24.702					
11-07-22	13:30:00	24.702					
11-07-22	13:40:00	24.702					
11-07-22	13:50:00	24.726					
11-07-22	14:00:00	24.726					
11-07-22	14:10:00	24.750					
11-07-22	14:20:00	24.750					
11-07-22	14:30:00	24.774					
11-07-22	14:40:00	24.774					
11-07-22	14:50:00	24.774					
11-07-22	15:00:00	24.798					
11-07-22	15:10:00	24.798					
11-07-22	15:20:00	24.823					
11-07-22	15:30:00	24.823					
11-07-22	15:40:00	24.847					
11-07-22	15:50:00	24.847					
11-07-22	16:00:00	24.847					
11-07-22	16:10:00	24.871					
11-07-22	16:20:00	24.871					
11-07-22	16:30:00	24.871					
11-07-22	16:40:00	24.895					
11-07-22	16:50:00	24.895					
11-07-22	17:00:00	24.895					
11-07-22	17:10:00	24.919					
11-07-22	17:20:00	24.919					
11-07-22	17:30:00	24.919					
11-07-22	17:40:00	24.944					
11-07-22	17:50:00	24.944					
11-07-22	18:00:00	24.944					
11-07-22	18:10:00	24.944					
11-07-22	18:20:00	24.944					
11-07-22	18:30:00	24.968					
11-07-22	18:40:00	24.968					
11-07-22	18:50:00	24.968					
11-07-22	19:00:00	24.992					
11-07-22	19:10:00	24.992					
11-07-22	19:20:00	24.992					
11-07-22	19:30:00	24.992					
11-07-22	19:40:00	24.992					
11-07-22	19:50:00	25.016					
11-07-22	20:00:00	25.016					
11-07-22	20:10:00	25.016					
11-07-22	20:20:00	25.016					
11-07-22	20:30:00	25.040					
11-07-22	20:40:00	25.040					
11-07-22	20:50:00	25.040					
11-07-22	21:00:00	25.040					
11-07-22	21:10:00	25.040					
11-07-22	21:20:00	25.040					
11-07-22	21:30:00	25.040					
11-07-22	21:40:00	25.040					
11-07-22	21:50:00	25.040					
11-07-22	22:00:00	25.040					
11-07-22	22:10:00	25.040					
11-07-22	22:20:00	25.040					
11-07-22	22:30:00	25.040					
11-07-22	22:40:00	25.040					
11-07-22	22:50:00	25.040					
11-07-22	23:00:00	25.040					
11-07-22	23:10:00	25.016					
11-07-22	23:20:00	25.016					
11-07-22	23:30:00	25.016					
11-07-22	23:40:00	25.016					
11-07-22	23:50:00	25.016					
12-07-22	00:00:00	24.992					
12-07-22	00:10:00	24.992					
12-07-22	00:20:00	24.992					
12-07-22	00:30:00	24.992					
12-07-22	00:40:00	24.992					
12-07-22	00:50:00	24.968					
12-07-22	01:00:00	24.968					
12-07-22	01:10:00	24.968					
12-07-22	01:20:00	24.944					
12-07-22	01:30:00	24.944					
12-07-22	01:40:00	24.944					
12-07-22	01:50:00	24.944					
12-07-22	02:00:00	24.919					
12-07-22	02:10:00	24.919					
12-07-22	02:20:00	24.919					
12-07-22	02:30:00	24.895					
12-07-22	02:40:00	24.895					
12-07-22	02:50:00	24.895					
12-07-22	03:00:00	24.895					
12-07-22	03:10:00	24.871					
12-07-22	03:20:00	24.871					
12-07-22	03:30:00	24.871					
12-07-22	03:40:00	24.847					
12-07-22	03:50:00	24.847					
12-07-22	04:00:00	24.847					
12-07-22	04:10:00	24.823					
12-07-22	04:20:00	24.823					
12-07-22	04:30:00	24.823					
12-07-22	04:40:00	24.798					
12-07-22	04:50:00	24.798					
12-07-22	05:00:00	24.798					
12-07-22	05:10:00	24.774					
12-07-22	05:20:00	24.774					
12-07-22	05:30:00	24.774					
12-07-22	05:40:00	24.750					
12-07-22	05:50:00	24.750					
12-07-22	06:00:00	24.750					
12-07-22	06:10:00	24.750					
12-07-22	06:20:00	24.726					
12-07-22	06:30:00	24.726					
12-07-22	06:40:00	24.702					
12-07-22	06:50:00	24.702					
12-07-22	07:00:00	24.702					
12-07-22	07:10:00	24.677					
12-07-22	07:20:00	24.677					
12-07-22	07:30:00	24.677					
12-07-22	07:40:00	24.653					
12-07-22	07:50:00	24.653					
12-07-22	08:00:00	24.653					
12-07-22	08:10:00	24.653					
12-07-22	08:20:00	24.629					
12-07-22	08:30:00	24.629					
12-07-22	08:40:00	24.629					
12-07-22	08:50:00	24.629					
12-07-22	09:00:00	24.629					
12-07-22	09:10:00	24.629					
12-07-22	09:20:00	24.605					
12-07-22	09:30:00	24.605					
12-07-22	09:40:00	24.605					
12-07-22	09:50:00	24.605					
12-07-22	10:00:00	24.605					
12-07-22	10:10:00	24.605					
12-07-22	10:20:00	24.605					
12-07-22	10:30:00	24.605					
12-07-22	10:40:00	24.605					
12-07-22	10:50:00	24.605					
12-07-22	11:00:00	24.629					
12-07-22	11:10:00	24.629					
12-07-22	11:20:00	24.629					
12-07-22	11:30:00	24.629					
12-07-22	11:40:00	24.653					
12-07-22	11:50:00	24.653					
12-07-22	12:00:00	24.653					
12-07-22	12:10:00	24.677					
12-07-22	12:20:00	24.677					
12-07-22	12:30:00	24.702					
12-07-22	12:40:00	24.702					
12-07-22	12:50:00	24.726					
12-07-22	13:00:00	24.726					
12-07-22	13:10:00	24.750					
12-07-22	13:20:00	24.750					
12-07-22	13:30:00	24.774					
12-07-22	13:40:00	24.774					
12-07-22	13:50:00	24.798					
12-07-22	14:00:00	24.823					
12-07-22	14:10:00	24.823					
12-07-22	14:20:00	24.847					
12-07-22	14:30:00	24.871					
12-07-22	14:40:00	24.871					
12-07-22	14:50:00	24.895					
12-07-22	15:00:00	24.919					
12-07-22	15:10:00	24.919					
12-07-22	15:20:00	24.944					
12-07-22	15:30:00	24.968					
12-07-22	15:40:00	24.968					
12-07-22	15:50:00	24.992					
12-07-22	16:00:00	24.992					
12-07-22	16:10:00	25.016					
12-07-22	16:20:00	25.016					
12-07-22	16:30:00	25.040					
12-07-22	16:40:00	25.040					
12-07-22	16:50:00	25.040					
12-07-22	17:00:00	25.065					
12-07-22	17:10:00	25.065					
12-07-22	17:20:00	25.089					
12-07-22	17:30:00	25.089					
12-07-22	17:40:00	25.089					
12-07-22	17:50:00	25.113					
12-07-22	18:00:00	25.113					
12-07-22	18:10:00	25.113					
12-07-22	18:20:00	25.137					
12-07-22	18:30:00	25.137					
12-07-22	18:40:00	25.137					
12-07-22	18:50:00	25.162					
12-07-22	19:00:00	25.162					
12-07-22	19:10:00	25.162					
12-07-22	19:20:00	25.186					
12-07-22	19:30:00	25.186					
12-07-22	19:40:00	25.186					
12-07-22	19:50:00	25.186					
12-07-22	20:00:00	25.210					
12-07-22	20:10:00	25.210					
12-07-22	20:20:00	25.210					
12-07-22	20:30:00	25.234					
12-07-22	20:40:00	25.234					
12-07-22	20:50:00	25.234					
12-07-22	21:00:00	25.234					
12-07-22	21:10:00	25.234					
12-07-22	21:20:00	25.234					
12-07-22	21:30:00	25.258					
12-07-22	21:40:00	25.258					
12-07-22	21:50:00	25.258					
12-07-22	22:00:00	25.258					
12-07-22	22:10:00	25.258					
12-07-22	22:20:00	25.258					
12-07-22	22:30:00	25.258					
12-07-22	22:40:00	25.283					
12-07-22	22:50:00	25.283					
12-07-22	23:00:00	25.258					
12-07-22	23:10:00	25.258					
12-07-22	23:20:00	25.258					
12-07-22	23:30:00	25.258					
12-07-22	23:40:00	25.258					
12-07-22	23:50:00	25.258					
13-07-22	00:00:00	25.258					
13-07-22	00:10:00	25.258					
13-07-22	00:20:00	25.258					
13-07-22	00:30:00	25.258					
13-07-22	00:40:00	25.234					
13-07-22	00:50:00	25.234					
13-07-22	01:00:00	25.234					
13-07-22	01:10:00	25.234					
13-07-22	01:20:00	25.234					
13-07-22	01:30:00	25.210					
13-07-22	01:40:00	25.210					
13-07-22	01:50:00	25.210					
13-07-22	02:00:00	25.210					
13-07-22	02:10:00	25.186					
13-07-22	02:20:00	25.186					
13-07-22	02:30:00	25.186					
13-07-22	02:40:00	25.186					
13-07-22	02:50:00	25.162					
13-07-22	03:00:00	25.162					
13-07-22	03:10:00	25.162					
13-07-22	03:20:00	25.137					
13-07-22	03:30:00	25.137					
13-07-22	03:40:00	25.137					
13-07-22	03:50:00	25.113					
13-07-22	04:00:00	25.113					
13-07-22	04:10:00	25.113					
13-07-22	04:20:00	25.089					
13-07-22	04:30:00	25.089					
13-07-22	04:40:00	25.089					
13-07-22	04:50:00	25.089					
13-07-22	05:00:00	25.065					
13-07-22	05:10:00	25.065					
13-07-22	05:20:00	25.065					
13-07-22	05:30:00	25.040					
13-07-22	05:40:00	25.040					
13-07-22	05:50:00	25.040					
13-07-22	06:00:00	25.016					
13-07-22	06:10:00	25.016					
13-07-22	06:20:00	25.016					
13-07-22	06:30:00	24.992					
13-07-22	06:40:00	24.992					
13-07-22	06:50:00	24.992					
13-07-22	07:00:00	24.992					
13-07-22	07:10:00	24.968					
13-07-22	07:20:00	24.968					
13-07-22	07:30:00	24.968					
13-07-22	07:40:00	24.944					
13-07-22	07:50:00	24.944					
13-07-22	08:00:00	24.944					
13-07-22	08:10:00	24.944					
13-07-22	08:20:00	24.944					
13-07-22	08:30:00	24.919					
13-07-22	08:40:00	24.919					
13-07-22	08:50:00	24.919					
13-07-22	09:00:00	24.919					
13-07-22	09:10:00	24.919					
13-07-22	09:20:00	24.919					
13-07-22	09:30:00	24.919					
13-07-22	09:40:00	24.895					
13-07-22	09:50:00	24.895					
13-07-22	10:00:00	24.895					
13-07-22	10:10:00	24.895					
13-07-22	10:20:00	24.895					
13-07-22	10:30:00	24.895					
13-07-22	10:40:00	24.895					
13-07-22	10:50:00	24.919					
13-07-22	11:00:00	24.919					
13-07-22	11:10:00	24.919					
13-07-22	11:20:00	24.919					
13-07-22	11:30:00	24.919					
13-07-22	11:40:00	24.919					
13-07-22	11:50:00	24.944					
13-07-22	12:00:00	24.944					
13-07-22	12:10:00	24.944					
13-07-22	12:20:00	24.968					
13-07-22	12:30:00	24.968					
13-07-22	12:40:00	24.992					
13-07-22	12:50:00	24.992					
13-07-22	13:00:00	24.992					
13-07-22	13:10:00	25.016					
13-07-22	13:20:00	25.016					
13-07-22	13:30:00	25.040					
13-07-22	13:40:00	25.040					
13-07-22	13:50:00	25.040					
13-07-22	14:00:00	25.065					
13-07-22	14:10:00	25.065					
13-07-22	14:20:00	25.065					
13-07-22	14:30:00	25.089					
13-07-22	14:40:00	25.089					
13-07-22	14:50:00	25.113					
13-07-22	15:00:00	25.113					
13-07-22	15:10:00	25.113					
13-07-22	15:20:00	25.137					
13-07-22	15:30:00	25.137					
13-07-22	15:40:00	25.137					
13-07-22	15:50:00	25.162					
13-07-22	16:00:00	25.162					
13-07-22	16:10:00	25.162					
13-07-22	16:20:00	25.186					
13-07-22	16:30:00	25.186					
13-07-22	16:40:00	25.186					
13-07-22	16:50:00	25.186					
13-07-22	17:00:00	25.186					
13-07-22	17:10:00	25.210					
13-07-22	17:20:00	25.210					
13-07-22	17:30:00	25.210					
13-07-22	17:40:00	25.234					
13-07-22	17:50:00	25.234					
13-07-22	18:00:00	25.234					
13-07-22	18:10:00	25.258					
13-07-22	18:20:00	25.258					
13-07-22	18:30:00	25.258					
13-07-22	18:40:00	25.283					
13-07-22	18:50:00	25.283					
13-07-22	19:00:00	25.283					
13-07-22	19:10:00	25.283					
13-07-22	19:20:00	25.307					
13-07-22	19:30:00	25.307					
13-07-22	19:40:00	25.307					
13-07-22	19:50:00	25.307					
13-07-22	20:00:00	25.331					
13-07-22	20:10:00	25.331					
13-07-22	20:20:00	25.331					
13-07-22	20:30:00	25.355					
13-07-22	20:40:00	25.355					
13-07-22	20:50:00	25.355					
13-07-22	21:00:00	25.380					
13-07-22	21:10:00	25.380					
13-07-22	21:20:00	25.380					
13-07-22	21:30:00	25.380					
13-07-22	21:40:00	25.380					
13-07-22	21:50:00	25.380					
13-07-22	22:00:00	25.404					
13-07-22	22:10:00	25.404					
13-07-22	22:20:00	25.404					
13-07-22	22:30:00	25.404					
13-07-22	22:40:00	25.404					
13-07-22	22:50:00	25.404					
13-07-22	23:00:00	25.404					
13-07-22	23:10:00	25.404					
13-07-22	23:20:00	25.404					
13-07-22	23:30:00	25.404					
13-07-22	23:40:00	25.404					
13-07-22	23:50:00	25.380					
14-07-22	00:00:00	25.380					
14-07-22	00:10:00	25.380					
14-07-22	00:20:00	25.380					
14-07-22	00:30:00	25.380					
14-07-22	00:40:00	25.380					
14-07-22	00:50:00	25.355					
14-07-22	01:00:00	25.355					
14-07-22	01:10:00	25.355					
14-07-22	01:20:00	25.355					
14-07-22	01:30:00	25.331					
14-07-22	01:40:00	25.331					
14-07-22	01:50:00	25.331					
14-07-22	02:00:00	25.331					
14-07-22	02:10:00	25.307					
14-07-22	02:20:00	25.307					
14-07-22	02:30:00	25.307					
14-07-22	02:40:00	25.307					
14-07-22	02:50:00	25.283					
14-07-22	03:00:00	25.283					
14-07-22	03:10:00	25.283					
14-07-22	03:20:00	25.258					
14-07-22	03:30:00	25.258					
14-07-22	03:40:00	25.258					
14-07-22	03:50:00	25.258					
14-07-22	04:00:00	25.234					
14-07-22	04:10:00	25.234					
14-07-22	04:20:00	25.234					
14-07-22	04:30:00	25.234					
14-07-22	04:40:00	25.210					
14-07-22	04:50:00	25.210					
14-07-22	05:00:00	25.210					
14-07-22	05:10:00	25.186					
14-07-22	05:20:00	25.186					
14-07-22	05:30:00	25.186					
14-07-22	05:40:00	25.162					
14-07-22	05:50:00	25.162					
14-07-22	06:00:00	25.162					
14-07-22	06:10:00	25.137					
14-07-22	06:20:00	25.137					
14-07-22	06:30:00	25.137					
14-07-22	06:40:00	25.137					
14-07-22	06:50:00	25.113					
14-07-22	07:00:00	25.113					
14-07-22	07:10:00	25.113					
14-07-22	07:20:00	25.113					
14-07-22	07:30:00	25.089					
14-07-22	07:40:00	25.089					
14-07-22	07:50:00	25.089					
14-07-22	08:00:00	25.089					
14-07-22	08:10:00	25.065					
14-07-22	08:20:00	25.065					
14-07-22	08:30:00	25.065					
14-07-22	08:40:00	25.065					
14-07-22	08:50:00	25.040					
14-07-22	09:00:00	25.040					
14-07-22	09:10:00	25.040					
14-07-22	09:20:00	25.040					
14-07-22	09:30:00	25.040					
14-07-22	09:40:00	25.040					
14-07-22	09:50:00	25.040					
14-07-22	10:00:00	25.040					
14-07-22	10:10:00	25.040					
14-07-22	10:20:00	25.040					
14-07-22	10:30:00	25.040					
14-07-22	10:40:00	25.040					
14-07-22	10:50:00	25.040					
14-07-22	11:00:00	25.040					
14-07-22	11:10:00	25.040					
14-07-22	11:20:00	25.040					
14-07-22	11:30:00	25.040					
14-07-22	11:40:00	25.065					
14-07-22	11:50:00	25.065					
14-07-22	12:00:00	25.065					
14-07-22	12:10:00	25.089					
14-07-22	12:20:00	25.089					
14-07-22	12:30:00	25.089					
14-07-22	12:40:00	25.113					
14-07-22	12:50:00	25.113					
14-07-22	13:00:00	25.113					
14-07-22	13:10:00	25.137					
14-07-22	13:20:00	25.137					
14-07-22	13:30:00	25.162					
14-07-22	13:40:00	25.162					
14-07-22	13:50:00	25.162					
14-07-22	14:00:00	25.186					
14-07-22	14:10:00	25.186					
14-07-22	14:20:00	25.210					
14-07-22	14:30:00	25.210					
14-07-22	14:40:00	25.234					
14-07-22	14:50:00	25.234					
14-07-22	15:00:00	25.258					
14-07-22	15:10:00	25.258					
14-07-22	15:20:00	25.283					
14-07-22	15:30:00	25.283					
14-07-22	15:40:00	25.283					
14-07-22	15:50:00	25.307					
14-07-22	16:00:00	25.307					
14-07-22	16:10:00	25.307					
14-07-22	16:20:00	25.331					
14-07-22	16:30:00	25.331					
14-07-22	16:40:00	25.331					
14-07-22	16:50:00	25.355					
14-07-22	17:00:00	25.355					
14-07-22	17:10:00	25.355					
14-07-22	17:20:00	25.355					
14-07-22	17:30:00	25.380					
14-07-22	17:40:00	25.380					
14-07-22	17:50:00	25.380					
14-07-22	18:00:00	25.380					
14-07-22	18:10:00	25.380					
14-07-22	18:20:00	25.404					
14-07-22	18:30:00	25.404					
14-07-22	18:40:00	25.404					
14-07-22	18:50:00	25.404					
14-07-22	19:00:00	25.428					
14-07-22	19:10:00	25.428					
14-07-22	19:20:00	25.428					
14-07-22	19:30:00	25.428					
14-07-22	19:40:00	25.453					
14-07-22	19:50:00	25.453					
14-07-22	20:00:00	25.453					
14-07-22	20:10:00	25.453					
14-07-22	20:20:00	25.453					
14-07-22	20:30:00	25.477					
14-07-22	20:40:00	25.477					
14-07-22	20:50:00	25.477					
14-07-22	21:00:00	25.477					
14-07-22	21:10:00	25.477					
14-07-22	21:20:00	25.477					
14-07-22	21:30:00	25.477					
14-07-22	21:40:00	25.477					
14-07-22	21:50:00	25.477					
14-07-22	22:00:00	25.477					
14-07-22	22:10:00	25.477					
14-07-22	22:20:00	25.477					
14-07-22	22:30:00	25.477					
14-07-22	22:40:00	25.477					
14-07-22	22:50:00	25.477					
14-07-22	23:00:00	25.477					
14-07-22	23:10:00	25.477					
14-07-22	23:20:00	25.477					
14-07-22	23:30:00	25.477					
14-07-22	23:40:00	25.477					
14-07-22	23:50:00	25.477					
15-07-22	00:00:00	25.477					
15-07-22	00:10:00	25.453					
15-07-22	00:20:00	25.453					
15-07-22	00:30:00	25.453					
15-07-22	00:40:00	25.453					
15-07-22	00:50:00	25.453					
15-07-22	01:00:00	25.428					
15-07-22	01:10:00	25.428					
15-07-22	01:20:00	25.428					
15-07-22	01:30:00	25.428					
15-07-22	01:40:00	25.404					
15-07-22	01:50:00	25.404					
15-07-22	02:00:00	25.404					
15-07-22	02:10:00	25.404					
15-07-22	02:20:00	25.380					
15-07-22	02:30:00	25.380					
15-07-22	02:40:00	25.380					
15-07-22	02:50:00	25.355					
15-07-22	03:00:00	25.355					
15-07-22	03:10:00	25.355					
15-07-22	03:20:00	25.355					
15-07-22	03:30:00	25.331					
15-07-22	03:40:00	25.331					
15-07-22	03:50:00	25.331					
15-07-22	04:00:00	25.307					
15-07-22	04:10:00	25.307					
15-07-22	04:20:00	25.307					
15-07-22	04:30:00	25.283					
15-07-22	04:40:00	25.283					
15-07-22	04:50:00	25.283					
15-07-22	05:00:00	25.258					
15-07-22	05:10:00	25.258					
15-07-22	05:20:00	25.258					
15-07-22	05:30:00	25.234					
15-07-22	05:40:00	25.234					
15-07-22	05:50:00	25.234					
15-07-22	06:00:00	25.210					
15-07-22	06:10:00	25.210					
15-07-22	06:20:00	25.210					
15-07-22	06:30:00	25.186					
15-07-22	06:40:00	25.186					
15-07-22	06:50:00	25.186					
15-07-22	07:00:00	25.186					
15-07-22	07:10:00	25.162					
15-07-22	07:20:00	25.162					
15-07-22	07:30:00	25.162					
15-07-22	07:40:00	25.137					
15-07-22	07:50:00	25.137					
15-07-22	08:00:00	25.137					
15-07-22	08:10:00	25.137					
15-07-22	08:20:00	25.137					
15-07-22	08:30:00	25.113					
15-07-22	08:40:00	25.113					
15-07-22	08:50:00	25.113					
15-07-22	09:00:00	25.113					
15-07-22	09:10:00	25.089					
15-07-22	09:20:00	25.089					
15-07-22	09:30:00	25.089					
15-07-22	09:40:00	25.089					
15-07-22	09:50:00	25.089					
15-07-22	10:00:00	25.089					
15-07-22	10:10:00	25.089					
15-07-22	10:20:00	25.065					
15-07-22	10:30:00	25.065					
15-07-22	10:40:00	25.065					
15-07-22	10:50:00	25.089					
15-07-22	11:00:00	25.089					
15-07-22	11:10:00	25.089					
15-07-22	11:20:00	25.089					
15-07-22	11:30:00	25.089					
15-07-22	11:40:00	25.089					
15-07-22	11:50:00	25.089					
15-07-22	12:00:00	25.089					
15-07-22	12:10:00	25.089					
15-07-22	12:20:00	25.089					
15-07-22	12:30:00	25.089					
15-07-22	12:40:00	25.089					
15-07-22	12:50:00	25.113					
15-07-22	13:00:00	25.113					
15-07-22	13:10:00	25.113					
15-07-22	13:20:00	25.113					
15-07-22	13:30:00	25.137					
15-07-22	13:40:00	25.137					
15-07-22	13:50:00	25.137					
15-07-22	14:00:00	25.162					
15-07-22	14:10:00	25.162					
15-07-22	14:20:00	25.162					
15-07-22	14:30:00	25.186					
15-07-22	14:40:00	25.186					
15-07-22	14:50:00	25.186					
15-07-22	15:00:00	25.210					
15-07-22	15:10:00	25.210					
15-07-22	15:20:00	25.234					
15-07-22	15:30:00	25.234					
15-07-22	15:40:00	25.258					
15-07-22	15:50:00	25.258					
15-07-22	16:00:00	25.283					
15-07-22	16:10:00	25.283					
15-07-22	16:20:00	25.307					
15-07-22	16:30:00	25.307					
15-07-22	16:40:00	25.307					
15-07-22	16:50:00	25.331					
15-07-22	17:00:00	25.331					
15-07-22	17:10:00	25.355					
15-07-22	17:20:00	25.355					
15-07-22	17:30:00	25.355					
15-07-22	17:40:00	25.380					
15-07-22	17:50:00	25.380					
15-07-22	18:00:00	25.380					
15-07-22	18:10:00	25.380					
15-07-22	18:20:00	25.404					
15-07-22	18:30:00	25.404					
15-07-22	18:40:00	25.404					
15-07-22	18:50:00	25.428					
15-07-22	19:00:00	25.428					
15-07-22	19:10:00	25.428					
15-07-22	19:20:00	25.428					
15-07-22	19:30:00	25.428					
15-07-22	19:40:00	25.453					
15-07-22	19:50:00	25.453					
15-07-22	20:00:00	25.453					
15-07-22	20:10:00	25.477					
15-07-22	20:20:00	25.477					
15-07-22	20:30:00	25.477					
15-07-22	20:40:00	25.477					
15-07-22	20:50:00	25.477					
15-07-22	21:00:00	25.501					
15-07-22	21:10:00	25.501					
15-07-22	21:20:00	25.501					
15-07-22	21:30:00	25.501					
15-07-22	21:40:00	25.501					
15-07-22	21:50:00	25.525					
15-07-22	22:00:00	25.525					
15-07-22	22:10:00	25.525					
15-07-22	22:20:00	25.525					
15-07-22	22:30:00	25.525					
15-07-22	22:40:00	25.525					
15-07-22	22:50:00	25.525					
15-07-22	23:00:00	25.525					
15-07-22	23:10:00	25.525					
15-07-22	23:20:00	25.525					
15-07-22	23:30:00	25.525					
15-07-22	23:40:00	25.525					
